GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; 5 to 17 years:,Margin of Error; 5 to 17 years:,Estimate; 5 to 17 years: - Speak only English,Margin of Error; 5 to 17 years: - Speak only English,Estimate; 5 to 17 years: - Speak Spanish:,Margin of Error; 5 to 17 years: - Speak Spanish:,"Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak other Indo-European languages:,Margin of Error; 5 to 17 years: - Speak other Indo-European languages:,"Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages:,Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages:,"Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak other languages:,Margin of Error; 5 to 17 years: - Speak other languages:,"Estimate; 5 to 17 years: - Speak other languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""not at all""",Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - Speak only English,Margin of Error; 18 to 64 years: - Speak only English,Estimate; 18 to 64 years: - Speak Spanish:,Margin of Error; 18 to 64 years: - Speak Spanish:,"Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak other Indo-European languages:,Margin of Error; 18 to 64 years: - Speak other Indo-European languages:,"Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages:,Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages:,"Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak other languages:,Margin of Error; 18 to 64 years: - Speak other languages:,"Estimate; 18 to 64 years: - Speak other languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""not at all""",Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - Speak only English,Margin of Error; 65 years and over: - Speak only English,Estimate; 65 years and over: - Speak Spanish:,Margin of Error; 65 years and over: - Speak Spanish:,"Estimate; 65 years and over: - Speak Spanish: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""very well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""not well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""not at all""",Estimate; 65 years and over: - Speak other Indo-European languages:,Margin of Error; 65 years and over: - Speak other Indo-European languages:,"Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 65 years and over: - Speak Asian and Pacific Island languages:,Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages:,"Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 65 years and over: - Speak other languages:,Margin of Error; 65 years and over: - Speak other languages:,"Estimate; 65 years and over: - Speak other languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""not at all"""
0400000US09,09,Connecticut,3386166,207,606650,196,485849,1999,74596,1433,61257,1429,8321,720,3971,450,1047,277,30089,1200,26747,1179,2362,404,913,240,67,63,11562,635,8840,607,1714,264,913,212,95,67,4554,908,3600,801,738,388,216,118,0,28,2259232,269,1737423,3846,273078,2282,147425,2764,56980,1953,49679,1816,18994,1432,171747,3514,113935,2462,36518,1683,17839,1365,3455,535,59357,1436,32256,1260,16713,1062,8779,838,1609,336,17627,1234,11898,896,4435,720,1205,296,89,58,520284,222,435653,1521,23350,445,6106,485,5160,454,7224,533,4860,503,52947,1376,28331,988,12387,718,9173,688,3056,416,5940,400,1829,350,1532,282,1633,301,946,249,2394,280,1499,191,475,125,287,100,133,75
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",17814,184,3302,266,2966,313,173,95,152,86,21,23,0,19,0,19,155,128,147,128,8,13,0,19,0,19,0,19,0,19,0,19,0,19,0,19,8,41,8,41,0,19,0,19,0,19,11952,295,10007,445,722,215,443,164,214,120,40,36,25,25,949,262,605,160,262,125,72,49,10,17,236,134,44,54,114,117,78,48,0,19,38,68,30,35,8,40,0,19,0,19,2560,251,2324,242,72,63,53,59,8,13,11,17,0,19,107,68,81,47,14,18,6,13,6,13,43,35,6,12,15,25,22,24,0,19,14,75,4,25,0,19,5,24,5,25
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",135346,580,27013,881,16435,831,8511,578,6131,566,1584,347,592,174,204,111,1513,394,1224,352,211,99,78,62,0,28,256,112,221,110,35,35,0,28,0,28,298,214,156,103,117,141,25,37,0,28,94117,1012,47813,1355,31422,1228,14366,878,6248,634,7192,793,3616,555,10123,819,4633,563,2991,451,1752,322,747,265,3329,799,1325,384,946,269,928,413,130,91,1430,479,642,229,657,320,119,97,12,19,14216,636,8758,540,3063,373,529,140,844,216,1156,264,534,171,1962,308,660,186,529,146,376,132,397,175,282,141,34,30,49,45,199,130,0,28,151,72,66,49,39,28,46,40,0,28
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",15815,252,2969,250,2710,268,79,81,36,43,0,19,43,69,0,19,117,64,117,64,0,19,0,19,0,19,63,56,51,54,12,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,10315,382,9009,449,386,173,236,121,114,83,36,35,0,19,544,198,485,184,58,46,1,3,0,19,349,161,260,143,80,61,9,15,0,19,27,31,11,18,16,26,0,19,0,19,2531,302,2287,292,48,55,14,22,34,39,0,19,0,19,115,71,79,53,0,19,36,46,0,19,81,95,17,27,0,19,21,31,43,61,0,19,0,19,0,19,0,19,0,19
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",76833,440,11672,629,6388,475,3686,579,2560,509,780,322,282,144,64,56,1124,296,962,264,111,71,51,49,0,28,351,138,258,119,72,72,21,32,0,28,123,167,123,167,0,28,0,28,0,28,55439,655,29177,1200,13775,1154,4552,575,3888,432,4007,716,1328,354,9013,915,4467,575,2223,461,1917,451,406,225,2786,467,1154,279,1138,336,494,164,0,28,688,311,542,247,146,137,0,28,0,28,9722,498,7119,435,771,256,95,70,113,68,141,87,422,239,1474,274,683,208,467,129,217,112,107,70,262,111,42,47,29,31,89,58,102,73,96,59,72,50,12,15,12,20,0,28
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",19349,250,5884,311,5386,323,239,103,233,101,0,22,6,10,0,22,184,90,170,83,0,22,14,21,0,22,66,47,49,40,0,22,17,26,0,22,9,14,9,14,0,22,0,22,0,22,11040,247,9980,289,280,101,219,70,30,44,26,36,5,9,527,141,395,95,118,93,14,16,0,22,234,96,191,79,43,33,0,22,0,22,19,21,19,21,0,22,0,22,0,22,2425,141,2098,158,37,37,37,37,0,22,0,22,0,22,242,85,187,70,27,24,28,27,0,22,16,20,10,15,6,13,0,22,0,22,32,47,32,47,0,22,0,22,0,22
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",7237,92,1731,146,1609,136,65,56,54,55,0,17,11,15,0,17,47,40,47,40,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,10,16,10,16,0,17,0,17,0,17,4289,140,3621,196,81,63,44,47,30,44,7,11,0,17,464,172,413,173,40,32,11,12,0,17,22,27,22,27,0,17,0,17,0,17,101,80,75,64,19,26,7,11,0,17,1217,118,995,131,11,17,0,17,11,17,0,17,0,17,150,99,45,38,50,43,42,51,13,19,0,17,0,17,0,17,0,17,0,17,61,62,27,28,10,16,24,34,0,17
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",56616,374,12167,525,10668,512,506,176,340,136,83,63,83,46,0,28,651,190,546,166,77,53,28,27,0,28,237,102,172,73,53,70,12,19,0,28,105,96,99,92,6,10,0,28,0,28,35722,430,30202,623,1425,234,1021,171,296,108,108,63,0,28,2567,349,1697,264,724,211,146,105,0,28,1180,291,640,180,344,127,136,76,60,46,348,184,255,124,83,78,10,15,0,28,8727,345,7560,333,184,85,148,78,20,19,4,8,12,21,708,137,497,128,122,53,78,46,11,14,134,89,23,27,42,47,46,40,23,40,141,60,80,44,38,36,15,23,8,12
