GEO.id,GEO.id2,GEO.display-label,B16004_001E,B16004_001M,B16004_002E,B16004_002M,B16004_003E,B16004_003M,B16004_004E,B16004_004M,B16004_005E,B16004_005M,B16004_006E,B16004_006M,B16004_007E,B16004_007M,B16004_008E,B16004_008M,B16004_009E,B16004_009M,B16004_010E,B16004_010M,B16004_011E,B16004_011M,B16004_012E,B16004_012M,B16004_013E,B16004_013M,B16004_014E,B16004_014M,B16004_015E,B16004_015M,B16004_016E,B16004_016M,B16004_017E,B16004_017M,B16004_018E,B16004_018M,B16004_019E,B16004_019M,B16004_020E,B16004_020M,B16004_021E,B16004_021M,B16004_022E,B16004_022M,B16004_023E,B16004_023M,B16004_024E,B16004_024M,B16004_025E,B16004_025M,B16004_026E,B16004_026M,B16004_027E,B16004_027M,B16004_028E,B16004_028M,B16004_029E,B16004_029M,B16004_030E,B16004_030M,B16004_031E,B16004_031M,B16004_032E,B16004_032M,B16004_033E,B16004_033M,B16004_034E,B16004_034M,B16004_035E,B16004_035M,B16004_036E,B16004_036M,B16004_037E,B16004_037M,B16004_038E,B16004_038M,B16004_039E,B16004_039M,B16004_040E,B16004_040M,B16004_041E,B16004_041M,B16004_042E,B16004_042M,B16004_043E,B16004_043M,B16004_044E,B16004_044M,B16004_045E,B16004_045M,B16004_046E,B16004_046M,B16004_047E,B16004_047M,B16004_048E,B16004_048M,B16004_049E,B16004_049M,B16004_050E,B16004_050M,B16004_051E,B16004_051M,B16004_052E,B16004_052M,B16004_053E,B16004_053M,B16004_054E,B16004_054M,B16004_055E,B16004_055M,B16004_056E,B16004_056M,B16004_057E,B16004_057M,B16004_058E,B16004_058M,B16004_059E,B16004_059M,B16004_060E,B16004_060M,B16004_061E,B16004_061M,B16004_062E,B16004_062M,B16004_063E,B16004_063M,B16004_064E,B16004_064M,B16004_065E,B16004_065M,B16004_066E,B16004_066M,B16004_067E,B16004_067M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!5 to 17 years,Margin of Error!!Total!!5 to 17 years,Estimate!!Total!!5 to 17 years!!Speak only English,Margin of Error!!Total!!5 to 17 years!!Speak only English,Estimate!!Total!!5 to 17 years!!Speak Spanish,Margin of Error!!Total!!5 to 17 years!!Speak Spanish,"Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English very well""""","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English very well""""","Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English well""""","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English well""""","Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English not well""""","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English not well""""","Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English not at all""""","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English not at all""""",Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages,Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages,"Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English very well""""","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English very well""""","Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English well""""","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English well""""","Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English not well""""","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English not well""""","Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English not at all""""","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English not at all""""",Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages,"Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English very well""""","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English very well""""","Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English well""""","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English well""""","Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English not well""""","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English not well""""","Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English not at all""""","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English not at all""""",Estimate!!Total!!5 to 17 years!!Speak other languages,Margin of Error!!Total!!5 to 17 years!!Speak other languages,"Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English very well""""","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English very well""""","Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English well""""","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English well""""","Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English not well""""","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English not well""""","Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English not at all""""","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English not at all""""",Estimate!!Total!!18 to 64 years,Margin of Error!!Total!!18 to 64 years,Estimate!!Total!!18 to 64 years!!Speak only English,Margin of Error!!Total!!18 to 64 years!!Speak only English,Estimate!!Total!!18 to 64 years!!Speak Spanish,Margin of Error!!Total!!18 to 64 years!!Speak Spanish,"Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English very well""""","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English very well""""","Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English well""""","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English well""""","Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English not well""""","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English not well""""","Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English not at all""""","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English not at all""""",Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages,Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages,"Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English very well""""","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English very well""""","Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English well""""","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English well""""","Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English not well""""","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English not well""""","Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English not at all""""","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English not at all""""",Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages,"Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English very well""""","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English very well""""","Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English well""""","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English well""""","Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English not well""""","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English not well""""","Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English not at all""""","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English not at all""""",Estimate!!Total!!18 to 64 years!!Speak other languages,Margin of Error!!Total!!18 to 64 years!!Speak other languages,"Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English very well""""","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English very well""""","Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English well""""","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English well""""","Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English not well""""","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English not well""""","Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English not at all""""","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English not at all""""",Estimate!!Total!!65 years and over,Margin of Error!!Total!!65 years and over,Estimate!!Total!!65 years and over!!Speak only English,Margin of Error!!Total!!65 years and over!!Speak only English,Estimate!!Total!!65 years and over!!Speak Spanish,Margin of Error!!Total!!65 years and over!!Speak Spanish,"Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English very well""""","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English very well""""","Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English well""""","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English well""""","Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English not well""""","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English not well""""","Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English not at all""""","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English not at all""""",Estimate!!Total!!65 years and over!!Speak other Indo-European languages,Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages,"Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English very well""""","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English very well""""","Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English well""""","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English well""""","Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English not well""""","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English not well""""","Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English not at all""""","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English not at all""""",Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages,"Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English very well""""","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English very well""""","Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English well""""","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English well""""","Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English not well""""","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English not well""""","Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English not at all""""","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English not at all""""",Estimate!!Total!!65 years and over!!Speak other languages,Margin of Error!!Total!!65 years and over!!Speak other languages,"Estimate!!Total!!65 years and over!!Speak other languages!!Speak English very well""""","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English very well""""","Estimate!!Total!!65 years and over!!Speak other languages!!Speak English well""""","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English well""""","Estimate!!Total!!65 years and over!!Speak other languages!!Speak English not well""""","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English not well""""","Estimate!!Total!!65 years and over!!Speak other languages!!Speak English not at all""""","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English not at all"""""
0600000US0900722280,0900722280,"East Haddam town, Middlesex County, Connecticut",8635,141,1641,204,1587,213,54,57,43,45,11,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,5785,229,5414,281,107,110,80,87,7,12,20,29,0,17,149,92,136,90,0,17,13,20,0,17,73,101,39,54,20,28,14,22,0,17,42,40,42,40,0,17,0,17,0,17,1209,192,1116,180,11,16,0,17,0,17,0,17,11,16,66,64,38,45,14,24,14,23,0,17,0,17,0,17,0,17,0,17,0,17,16,27,16,27,0,17,0,17,0,17
0600000US0900987700,0900987700,"Woodbridge town, New Haven County, Connecticut",8679,124,1844,184,1402,208,78,93,22,34,19,29,37,57,0,17,50,42,50,42,0,17,0,17,0,17,283,121,256,107,11,17,16,25,0,17,31,47,31,47,0,17,0,17,0,17,5038,194,3858,281,138,87,114,68,24,37,0,17,0,17,519,237,434,201,85,73,0,17,0,17,453,125,241,138,110,87,102,88,0,17,70,90,70,90,0,17,0,17,0,17,1797,182,1415,199,13,21,13,21,0,17,0,17,0,17,145,76,78,49,32,34,35,48,0,17,211,134,116,126,10,20,53,77,32,52,13,22,13,22,0,17,0,17,0,17
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",37828,384,6677,484,5018,529,774,273,667,283,92,70,15,21,0,25,417,228,369,218,34,40,14,25,0,25,468,155,162,87,212,108,94,55,0,25,0,25,0,25,0,25,0,25,0,25,25858,510,19158,684,3120,469,1386,275,1076,311,480,159,178,126,1856,448,728,250,720,216,360,212,48,53,1652,284,347,143,541,153,488,136,276,179,72,113,72,113,0,25,0,25,0,25,5293,346,4442,346,131,86,34,41,50,50,0,25,47,58,654,194,338,133,56,44,168,148,92,70,48,39,14,20,22,32,0,25,12,19,18,29,18,29,0,25,0,25,0,25
0600000US0901171670,0901171670,"Sprague town, New London County, Connecticut",2896,53,450,96,450,96,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2006,104,1955,105,23,35,23,35,0,12,0,12,0,12,28,23,13,12,15,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,440,92,391,77,0,12,0,12,0,12,0,12,0,12,49,45,34,38,0,12,15,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",34442,250,7144,381,6208,377,236,131,153,110,34,28,49,34,0,25,486,159,414,149,72,88,0,25,0,25,214,93,162,83,30,42,22,33,0,25,0,25,0,25,0,25,0,25,0,25,20470,398,16959,589,1073,296,797,292,182,83,80,67,14,24,1740,315,1214,261,382,164,118,60,26,30,533,158,387,129,108,59,38,41,0,25,165,155,63,74,62,76,40,67,0,25,6828,312,5635,280,209,93,75,57,91,69,23,27,20,27,922,191,516,132,181,81,153,96,72,64,47,49,47,49,0,25,0,25,0,25,15,25,7,12,8,12,0,25,0,25
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",25726,204,6411,320,5522,357,302,176,280,172,22,23,0,22,0,22,287,108,251,99,36,47,0,22,0,22,209,120,209,120,0,22,0,22,0,22,91,61,81,55,0,22,10,16,0,22,14888,270,12418,384,573,212,397,131,135,106,41,47,0,22,1126,243,1002,232,119,81,5,9,0,22,622,204,245,130,192,98,169,124,16,24,149,80,110,65,19,20,20,22,0,22,4427,273,4017,278,55,44,47,43,0,22,4,9,4,8,208,98,158,88,27,38,23,25,0,22,128,102,112,96,16,23,0,22,0,22,19,22,19,22,0,22,0,22,0,22
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",19329,228,3304,309,2945,372,129,111,129,111,0,22,0,22,0,22,212,178,126,130,86,117,0,22,0,22,0,22,0,22,0,22,0,22,0,22,18,27,18,27,0,22,0,22,0,22,12261,278,10170,441,203,118,160,104,43,52,0,22,0,22,1730,402,1016,238,459,195,255,209,0,22,96,98,37,47,59,68,0,22,0,22,62,63,62,63,0,22,0,22,0,22,3764,215,2878,257,24,36,0,22,0,22,24,36,0,22,819,236,218,80,153,77,271,155,177,145,15,23,0,22,0,22,15,23,0,22,28,44,28,44,0,22,0,22,0,22
0600000US0900715350,0900715350,"Clinton town, Middlesex County, Connecticut",12609,141,2199,189,1965,218,134,102,134,102,0,19,0,19,0,19,64,58,64,58,0,19,0,19,0,19,36,35,28,31,8,14,0,19,0,19,0,19,0,19,0,19,0,19,0,19,8331,237,7524,347,472,280,174,114,168,136,130,142,0,19,226,123,145,87,15,17,66,55,0,19,109,64,24,26,34,31,51,46,0,19,0,19,0,19,0,19,0,19,0,19,2079,201,1973,202,23,27,0,19,9,16,14,21,0,19,74,42,59,35,15,14,0,19,0,19,9,15,0,19,0,19,0,19,9,15,0,19,0,19,0,19,0,19,0,19
0600000US0901106820,0901106820,"Bozrah town, New London County, Connecticut",2555,41,450,79,450,79,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1673,81,1622,83,6,10,6,10,0,12,0,12,0,12,35,24,29,22,6,9,0,12,0,12,10,16,0,12,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,432,52,399,57,0,12,0,12,0,12,0,12,0,12,33,19,21,17,6,9,6,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
