GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; 5 to 17 years:,Margin of Error; 5 to 17 years:,Estimate; 5 to 17 years: - Speak only English,Margin of Error; 5 to 17 years: - Speak only English,Estimate; 5 to 17 years: - Speak Spanish:,Margin of Error; 5 to 17 years: - Speak Spanish:,"Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak other Indo-European languages:,Margin of Error; 5 to 17 years: - Speak other Indo-European languages:,"Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages:,Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages:,"Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak other languages:,Margin of Error; 5 to 17 years: - Speak other languages:,"Estimate; 5 to 17 years: - Speak other languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""not at all""",Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - Speak only English,Margin of Error; 18 to 64 years: - Speak only English,Estimate; 18 to 64 years: - Speak Spanish:,Margin of Error; 18 to 64 years: - Speak Spanish:,"Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak other Indo-European languages:,Margin of Error; 18 to 64 years: - Speak other Indo-European languages:,"Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages:,Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages:,"Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak other languages:,Margin of Error; 18 to 64 years: - Speak other languages:,"Estimate; 18 to 64 years: - Speak other languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""not at all""",Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - Speak only English,Margin of Error; 65 years and over: - Speak only English,Estimate; 65 years and over: - Speak Spanish:,Margin of Error; 65 years and over: - Speak Spanish:,"Estimate; 65 years and over: - Speak Spanish: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""very well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""not well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""not at all""",Estimate; 65 years and over: - Speak other Indo-European languages:,Margin of Error; 65 years and over: - Speak other Indo-European languages:,"Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 65 years and over: - Speak Asian and Pacific Island languages:,Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages:,"Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 65 years and over: - Speak other languages:,Margin of Error; 65 years and over: - Speak other languages:,"Estimate; 65 years and over: - Speak other languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""not at all"""
0400000US09,09,Connecticut,3401777,177,593291,200,470752,2441,75778,1920,63601,1864,8044,702,3401,448,732,208,30431,1403,26930,1285,2581,419,899,230,21,34,11499,766,8840,701,1711,269,821,189,127,69,4831,768,3771,640,848,364,205,112,7,10,2266208,275,1730169,4276,284390,2330,158685,2530,59636,2105,48110,1844,17959,1468,169273,3608,113855,2869,36944,1591,16040,1186,2434,441,62056,1918,34556,1473,17174,1002,8562,736,1764,304,20320,1285,14190,971,4453,616,1433,290,244,109,542278,213,454665,1606,25803,480,7873,531,5539,573,7112,526,5279,452,52526,1475,28128,1091,12155,731,9264,647,2979,425,6874,447,2518,364,1617,269,1614,275,1125,271,2410,317,1598,259,382,121,256,105,174,95
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",18411,173,3588,267,3070,281,327,126,289,124,38,37,0,19,0,19,157,108,149,108,8,12,0,19,0,19,34,53,34,53,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,12236,263,10110,323,726,206,368,152,276,117,52,45,30,34,943,217,577,150,205,92,135,108,26,42,407,177,178,126,108,108,121,73,0,19,50,50,41,43,9,14,0,19,0,19,2587,232,2324,223,106,108,81,77,8,14,17,48,0,19,120,68,89,56,23,31,4,7,4,10,37,47,19,32,0,19,18,32,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",136777,624,25662,773,15387,950,8084,718,5994,595,1526,312,401,125,163,84,1900,435,1553,411,207,117,140,92,0,28,104,66,85,61,19,24,0,28,0,28,187,129,104,76,53,71,30,46,0,28,96666,991,47599,1423,33495,1205,15589,918,6848,632,7686,722,3372,479,10830,1180,5517,812,3185,562,1678,357,450,167,3095,532,1129,274,1122,243,725,234,119,72,1647,485,862,265,567,311,218,133,0,28,14449,664,9188,562,2978,331,594,162,586,141,1076,215,722,163,1844,344,616,204,392,135,505,178,331,128,276,102,85,57,25,25,114,60,52,52,163,81,52,45,52,47,35,33,24,39
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",16106,239,3275,287,2959,335,80,79,39,43,0,19,41,67,0,19,159,82,136,82,10,17,13,21,0,19,77,60,53,50,0,19,24,38,0,19,0,19,0,19,0,19,0,19,0,19,10222,342,8726,386,282,137,227,121,55,65,0,19,0,19,757,262,611,225,135,83,11,19,0,19,427,164,321,132,58,39,27,27,21,30,30,36,9,14,21,32,0,19,0,19,2609,230,2317,222,17,26,7,13,8,13,0,19,2,5,137,65,76,41,12,20,49,43,0,19,132,118,20,31,8,12,29,39,75,77,6,9,6,9,0,19,0,19,0,19
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",78553,461,12462,705,6295,579,4401,587,3546,517,504,210,240,122,111,101,1350,317,1096,281,173,94,81,76,0,28,306,146,156,87,81,88,69,88,0,28,110,152,110,152,0,28,0,28,0,28,55570,823,29054,1410,15187,1060,5122,591,4462,606,4233,674,1370,567,8174,983,4306,592,2074,449,1595,498,199,140,2451,523,1036,258,935,312,416,144,64,70,704,294,552,251,152,103,0,28,0,28,10521,481,7695,489,819,281,150,88,91,51,116,72,462,257,1758,326,679,184,553,175,372,137,154,99,170,102,48,53,21,22,50,50,51,58,79,51,68,48,11,16,0,28,0,28
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",19789,232,5668,358,5079,394,243,90,234,93,0,22,9,14,0,22,245,129,232,125,0,22,13,19,0,22,92,54,92,54,0,22,0,22,0,22,9,14,9,14,0,22,0,22,0,22,11637,268,10058,393,532,199,448,165,45,57,32,38,7,10,735,255,619,217,97,80,19,21,0,22,296,123,197,88,87,52,12,18,0,22,16,18,16,18,0,22,0,22,0,22,2484,179,2157,176,35,38,35,38,0,22,0,22,0,22,264,91,193,74,71,58,0,22,0,22,13,19,0,22,13,19,0,22,0,22,15,25,15,25,0,22,0,22,0,22
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",7274,102,1593,180,1468,175,65,49,56,48,0,17,9,14,0,17,49,41,49,41,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,11,16,11,16,0,17,0,17,0,17,4395,154,3542,252,217,151,97,59,88,92,32,40,0,17,509,209,416,213,61,46,32,31,0,17,51,42,35,36,16,22,0,17,0,17,76,60,54,50,15,21,7,10,0,17,1286,131,1040,134,6,11,0,17,6,11,0,17,0,17,180,92,54,46,59,40,52,47,15,23,0,17,0,17,0,17,0,17,0,17,60,55,27,27,11,16,22,30,0,17
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",57451,367,11772,436,9994,501,500,131,364,121,66,60,70,39,0,28,895,213,774,194,112,75,9,13,0,28,233,115,157,62,76,90,0,28,0,28,150,138,135,122,15,22,0,28,0,28,36600,448,30120,742,1617,250,1154,203,342,118,93,67,28,23,3040,505,2139,408,790,259,106,59,5,9,1239,317,622,186,364,128,176,85,77,62,584,228,426,194,85,65,57,42,16,25,9079,314,7790,332,259,83,144,70,89,49,15,19,11,18,748,190,576,169,68,35,87,50,17,19,100,68,16,19,51,49,26,31,7,26,182,68,99,51,45,47,17,28,21,29
