GEO.id,GEO.id2,GEO.display-label,B16004_001E,B16004_001M,B16004_002E,B16004_002M,B16004_003E,B16004_003M,B16004_004E,B16004_004M,B16004_005E,B16004_005M,B16004_006E,B16004_006M,B16004_007E,B16004_007M,B16004_008E,B16004_008M,B16004_009E,B16004_009M,B16004_010E,B16004_010M,B16004_011E,B16004_011M,B16004_012E,B16004_012M,B16004_013E,B16004_013M,B16004_014E,B16004_014M,B16004_015E,B16004_015M,B16004_016E,B16004_016M,B16004_017E,B16004_017M,B16004_018E,B16004_018M,B16004_019E,B16004_019M,B16004_020E,B16004_020M,B16004_021E,B16004_021M,B16004_022E,B16004_022M,B16004_023E,B16004_023M,B16004_024E,B16004_024M,B16004_025E,B16004_025M,B16004_026E,B16004_026M,B16004_027E,B16004_027M,B16004_028E,B16004_028M,B16004_029E,B16004_029M,B16004_030E,B16004_030M,B16004_031E,B16004_031M,B16004_032E,B16004_032M,B16004_033E,B16004_033M,B16004_034E,B16004_034M,B16004_035E,B16004_035M,B16004_036E,B16004_036M,B16004_037E,B16004_037M,B16004_038E,B16004_038M,B16004_039E,B16004_039M,B16004_040E,B16004_040M,B16004_041E,B16004_041M,B16004_042E,B16004_042M,B16004_043E,B16004_043M,B16004_044E,B16004_044M,B16004_045E,B16004_045M,B16004_046E,B16004_046M,B16004_047E,B16004_047M,B16004_048E,B16004_048M,B16004_049E,B16004_049M,B16004_050E,B16004_050M,B16004_051E,B16004_051M,B16004_052E,B16004_052M,B16004_053E,B16004_053M,B16004_054E,B16004_054M,B16004_055E,B16004_055M,B16004_056E,B16004_056M,B16004_057E,B16004_057M,B16004_058E,B16004_058M,B16004_059E,B16004_059M,B16004_060E,B16004_060M,B16004_061E,B16004_061M,B16004_062E,B16004_062M,B16004_063E,B16004_063M,B16004_064E,B16004_064M,B16004_065E,B16004_065M,B16004_066E,B16004_066M,B16004_067E,B16004_067M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!5 to 17 years,Margin of Error!!Total!!5 to 17 years,Estimate!!Total!!5 to 17 years!!Speak only English,Margin of Error!!Total!!5 to 17 years!!Speak only English,Estimate!!Total!!5 to 17 years!!Speak Spanish,Margin of Error!!Total!!5 to 17 years!!Speak Spanish,"Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English very well""""","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English very well""""","Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English well""""","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English well""""","Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English not well""""","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English not well""""","Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English not at all""""","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English not at all""""",Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages,Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages,"Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English very well""""","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English very well""""","Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English well""""","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English well""""","Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English not well""""","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English not well""""","Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English not at all""""","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English not at all""""",Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages,"Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English very well""""","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English very well""""","Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English well""""","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English well""""","Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English not well""""","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English not well""""","Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English not at all""""","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English not at all""""",Estimate!!Total!!5 to 17 years!!Speak other languages,Margin of Error!!Total!!5 to 17 years!!Speak other languages,"Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English very well""""","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English very well""""","Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English well""""","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English well""""","Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English not well""""","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English not well""""","Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English not at all""""","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English not at all""""",Estimate!!Total!!18 to 64 years,Margin of Error!!Total!!18 to 64 years,Estimate!!Total!!18 to 64 years!!Speak only English,Margin of Error!!Total!!18 to 64 years!!Speak only English,Estimate!!Total!!18 to 64 years!!Speak Spanish,Margin of Error!!Total!!18 to 64 years!!Speak Spanish,"Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English very well""""","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English very well""""","Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English well""""","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English well""""","Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English not well""""","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English not well""""","Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English not at all""""","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English not at all""""",Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages,Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages,"Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English very well""""","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English very well""""","Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English well""""","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English well""""","Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English not well""""","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English not well""""","Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English not at all""""","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English not at all""""",Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages,"Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English very well""""","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English very well""""","Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English well""""","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English well""""","Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English not well""""","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English not well""""","Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English not at all""""","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English not at all""""",Estimate!!Total!!18 to 64 years!!Speak other languages,Margin of Error!!Total!!18 to 64 years!!Speak other languages,"Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English very well""""","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English very well""""","Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English well""""","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English well""""","Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English not well""""","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English not well""""","Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English not at all""""","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English not at all""""",Estimate!!Total!!65 years and over,Margin of Error!!Total!!65 years and over,Estimate!!Total!!65 years and over!!Speak only English,Margin of Error!!Total!!65 years and over!!Speak only English,Estimate!!Total!!65 years and over!!Speak Spanish,Margin of Error!!Total!!65 years and over!!Speak Spanish,"Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English very well""""","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English very well""""","Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English well""""","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English well""""","Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English not well""""","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English not well""""","Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English not at all""""","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English not at all""""",Estimate!!Total!!65 years and over!!Speak other Indo-European languages,Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages,"Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English very well""""","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English very well""""","Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English well""""","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English well""""","Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English not well""""","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English not well""""","Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English not at all""""","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English not at all""""",Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages,"Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English very well""""","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English very well""""","Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English well""""","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English well""""","Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English not well""""","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English not well""""","Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English not at all""""","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English not at all""""",Estimate!!Total!!65 years and over!!Speak other languages,Margin of Error!!Total!!65 years and over!!Speak other languages,"Estimate!!Total!!65 years and over!!Speak other languages!!Speak English very well""""","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English very well""""","Estimate!!Total!!65 years and over!!Speak other languages!!Speak English well""""","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English well""""","Estimate!!Total!!65 years and over!!Speak other languages!!Speak English not well""""","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English not well""""","Estimate!!Total!!65 years and over!!Speak other languages!!Speak English not at all""""","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English not at all"""""
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",37364,318,6247,506,4872,554,731,244,676,246,39,75,16,20,0,26,297,213,269,209,28,37,0,26,0,26,347,154,294,149,53,61,0,26,0,26,0,26,0,26,0,26,0,26,0,26,24715,562,18003,836,3073,487,1883,339,781,298,248,164,161,171,1666,468,916,319,432,152,275,154,43,50,1838,408,722,271,436,156,462,157,218,118,135,125,135,125,0,26,0,26,0,26,6402,428,5263,410,152,79,34,40,27,31,42,45,49,41,627,192,311,134,108,85,82,44,126,77,328,121,143,94,34,43,13,20,138,88,32,39,19,31,13,23,0,26,0,26
0600000US0900722280,0900722280,"East Haddam town, Middlesex County, Connecticut",8574,125,1098,142,1026,144,0,17,0,17,0,17,0,17,0,17,72,94,72,94,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,5816,183,5158,378,244,164,148,142,9,13,87,88,0,17,326,308,326,308,0,17,0,17,0,17,59,94,35,56,11,18,13,22,0,17,29,34,29,34,0,17,0,17,0,17,1660,180,1559,190,24,28,0,17,0,17,24,28,0,17,77,77,32,32,3,9,42,71,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0600000US0900987700,0900987700,"Woodbridge town, New Haven County, Connecticut",8338,133,1553,153,1150,197,65,70,21,23,16,24,28,42,0,17,111,64,111,64,0,17,0,17,0,17,218,143,197,139,21,33,0,17,0,17,9,15,9,15,0,17,0,17,0,17,4684,246,3343,359,220,101,214,100,6,9,0,17,0,17,467,169,383,146,73,62,0,17,11,17,585,170,449,147,102,67,34,30,0,17,69,50,69,50,0,17,0,17,0,17,2101,206,1704,221,35,32,29,31,0,17,6,9,0,17,214,125,107,88,49,52,37,57,21,31,119,87,0,17,0,17,119,87,0,17,29,39,7,12,22,36,0,17,0,17
0600000US0901171670,0901171670,"Sprague town, New London County, Connecticut",2783,74,446,81,402,80,44,40,44,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1893,93,1781,98,45,44,41,42,0,12,4,6,0,12,49,48,49,48,0,12,0,12,0,12,12,18,12,18,0,12,0,12,0,12,6,9,6,9,0,12,0,12,0,12,444,84,407,81,19,29,9,13,10,16,0,12,0,12,18,18,14,17,4,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",34294,335,6916,365,6017,402,172,116,172,116,0,26,0,26,0,26,506,184,506,184,0,26,0,26,0,26,190,113,169,106,21,23,0,26,0,26,31,36,8,12,23,34,0,26,0,26,20586,405,16394,650,1198,345,954,306,192,97,52,45,0,26,1997,360,1544,277,399,151,54,54,0,26,666,187,400,154,231,83,35,33,0,26,331,248,155,157,101,100,75,111,0,26,6792,338,5980,335,225,87,133,68,18,27,13,16,61,52,481,166,225,106,115,62,141,107,0,26,82,63,58,56,0,26,24,36,0,26,24,29,15,26,0,26,9,13,0,26
0600000US0901180280,0901180280,"Waterford town, New London County, Connecticut",18060,218,2595,255,2361,269,109,74,106,72,2,15,1,2,0,19,44,26,44,26,0,19,0,19,0,19,65,64,0,19,53,56,12,19,0,19,16,17,16,17,0,19,0,19,0,19,11141,275,9895,349,538,150,312,113,137,102,51,51,38,36,325,124,223,99,61,40,41,30,0,19,192,124,53,44,88,64,41,58,10,16,191,101,188,100,0,19,3,6,0,19,4324,281,4030,270,40,36,17,19,23,30,0,19,0,19,154,83,102,59,42,35,10,18,0,19,56,45,41,40,0,19,15,24,0,19,44,40,24,30,14,22,6,12,0,19
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",17722,163,2491,234,2426,225,24,27,24,27,0,19,0,19,0,19,15,18,15,18,0,19,0,19,0,19,8,13,8,13,0,19,0,19,0,19,18,28,18,28,0,19,0,19,0,19,10774,260,10092,267,219,105,175,89,24,26,20,25,0,19,303,92,259,89,34,34,10,16,0,19,154,88,124,80,10,13,13,21,7,11,6,9,6,9,0,19,0,19,0,19,4457,297,4106,293,71,54,61,48,0,19,10,15,0,19,230,81,136,60,53,49,41,34,0,19,37,43,18,27,0,19,0,19,19,33,13,17,3,5,10,16,0,19,0,19
0600000US0900715350,0900715350,"Clinton town, Middlesex County, Connecticut",12506,122,2008,235,1780,236,217,110,217,110,0,19,0,19,0,19,11,17,11,17,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,7915,229,6952,321,718,264,476,197,175,130,67,70,0,19,213,84,134,56,44,40,26,30,9,14,32,25,14,18,8,11,10,16,0,19,0,19,0,19,0,19,0,19,0,19,2583,179,2371,178,68,53,25,30,11,17,32,44,0,19,116,83,89,79,10,12,17,27,0,19,15,23,0,19,0,19,0,19,15,23,13,15,13,15,0,19,0,19,0,19
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",26506,272,6369,338,5803,388,130,91,130,91,0,23,0,23,0,23,254,138,229,133,0,23,25,30,0,23,164,82,132,73,32,30,0,23,0,23,18,22,18,22,0,23,0,23,0,23,15607,350,12860,486,755,418,616,404,128,66,11,18,0,23,1150,249,1057,246,73,60,20,25,0,23,702,218,445,135,118,96,122,78,17,26,140,109,66,52,74,96,0,23,0,23,4530,327,4061,319,60,51,56,50,0,23,4,9,0,23,324,121,216,87,66,55,0,23,42,61,67,48,49,36,18,20,0,23,0,23,18,26,18,26,0,23,0,23,0,23
