GEO.id,GEO.id2,GEO.display-label,B16004_001E,B16004_001M,B16004_002E,B16004_002M,B16004_003E,B16004_003M,B16004_004E,B16004_004M,B16004_005E,B16004_005M,B16004_006E,B16004_006M,B16004_007E,B16004_007M,B16004_008E,B16004_008M,B16004_009E,B16004_009M,B16004_010E,B16004_010M,B16004_011E,B16004_011M,B16004_012E,B16004_012M,B16004_013E,B16004_013M,B16004_014E,B16004_014M,B16004_015E,B16004_015M,B16004_016E,B16004_016M,B16004_017E,B16004_017M,B16004_018E,B16004_018M,B16004_019E,B16004_019M,B16004_020E,B16004_020M,B16004_021E,B16004_021M,B16004_022E,B16004_022M,B16004_023E,B16004_023M,B16004_024E,B16004_024M,B16004_025E,B16004_025M,B16004_026E,B16004_026M,B16004_027E,B16004_027M,B16004_028E,B16004_028M,B16004_029E,B16004_029M,B16004_030E,B16004_030M,B16004_031E,B16004_031M,B16004_032E,B16004_032M,B16004_033E,B16004_033M,B16004_034E,B16004_034M,B16004_035E,B16004_035M,B16004_036E,B16004_036M,B16004_037E,B16004_037M,B16004_038E,B16004_038M,B16004_039E,B16004_039M,B16004_040E,B16004_040M,B16004_041E,B16004_041M,B16004_042E,B16004_042M,B16004_043E,B16004_043M,B16004_044E,B16004_044M,B16004_045E,B16004_045M,B16004_046E,B16004_046M,B16004_047E,B16004_047M,B16004_048E,B16004_048M,B16004_049E,B16004_049M,B16004_050E,B16004_050M,B16004_051E,B16004_051M,B16004_052E,B16004_052M,B16004_053E,B16004_053M,B16004_054E,B16004_054M,B16004_055E,B16004_055M,B16004_056E,B16004_056M,B16004_057E,B16004_057M,B16004_058E,B16004_058M,B16004_059E,B16004_059M,B16004_060E,B16004_060M,B16004_061E,B16004_061M,B16004_062E,B16004_062M,B16004_063E,B16004_063M,B16004_064E,B16004_064M,B16004_065E,B16004_065M,B16004_066E,B16004_066M,B16004_067E,B16004_067M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!5 to 17 years:,Margin of Error!!Total:!!5 to 17 years:,Estimate!!Total:!!5 to 17 years:!!Speak only English,Margin of Error!!Total:!!5 to 17 years:!!Speak only English,Estimate!!Total:!!5 to 17 years:!!Speak Spanish:,Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:,"Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English very well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English very well""""","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English well""""","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English not well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English not well""""","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English not at all""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English not at all""""",Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:,Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:,"Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English very well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English very well""""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English well""""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English not well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English not well""""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English not at all""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English not at all""""",Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:,Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:,"Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""",Estimate!!Total:!!5 to 17 years:!!Speak other languages:,Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:,"Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English very well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English very well""""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English well""""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English not well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English not well""""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English not at all""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English not at all""""",Estimate!!Total:!!18 to 64 years:,Margin of Error!!Total:!!18 to 64 years:,Estimate!!Total:!!18 to 64 years:!!Speak only English,Margin of Error!!Total:!!18 to 64 years:!!Speak only English,Estimate!!Total:!!18 to 64 years:!!Speak Spanish:,Margin of Error!!Total:!!18 to 64 years:!!Speak Spanish:,"Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English very well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English very well""""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English well""""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English not well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English not well""""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English not at all""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English not at all""""",Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:,Margin of Error!!Total:!!18 to 64 years:!!Speak other Indo-European languages:,"Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English very well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English very well""""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English well""""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English not well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English not well""""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English not at all""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English not at all""""",Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:,Margin of Error!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:,"Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""",Estimate!!Total:!!18 to 64 years:!!Speak other languages:,Margin of Error!!Total:!!18 to 64 years:!!Speak other languages:,"Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English very well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English very well""""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English well""""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English not well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English not well""""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English not at all""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English not at all""""",Estimate!!Total:!!65 years and over:,Margin of Error!!Total:!!65 years and over:,Estimate!!Total:!!65 years and over:!!Speak only English,Margin of Error!!Total:!!65 years and over:!!Speak only English,Estimate!!Total:!!65 years and over:!!Speak Spanish:,Margin of Error!!Total:!!65 years and over:!!Speak Spanish:,"Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English very well""""","Margin of Error!!Total:!!65 years and over:!!Speak Spanish:!!Speak English very well""""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English well""""","Margin of Error!!Total:!!65 years and over:!!Speak Spanish:!!Speak English well""""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English not well""""","Margin of Error!!Total:!!65 years and over:!!Speak Spanish:!!Speak English not well""""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English not at all""""","Margin of Error!!Total:!!65 years and over:!!Speak Spanish:!!Speak English not at all""""",Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:,Margin of Error!!Total:!!65 years and over:!!Speak other Indo-European languages:,"Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English very well""""","Margin of Error!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English very well""""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English well""""","Margin of Error!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English well""""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English not well""""","Margin of Error!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English not well""""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English not at all""""","Margin of Error!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English not at all""""",Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:,Margin of Error!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:,"Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Margin of Error!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Margin of Error!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Margin of Error!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""","Margin of Error!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""",Estimate!!Total:!!65 years and over:!!Speak other languages:,Margin of Error!!Total:!!65 years and over:!!Speak other languages:,"Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English very well""""","Margin of Error!!Total:!!65 years and over:!!Speak other languages:!!Speak English very well""""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English well""""","Margin of Error!!Total:!!65 years and over:!!Speak other languages:!!Speak English well""""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English not well""""","Margin of Error!!Total:!!65 years and over:!!Speak other languages:!!Speak English not well""""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English not at all""""","Margin of Error!!Total:!!65 years and over:!!Speak other languages:!!Speak English not at all"""""
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",18513,205,3450,342,2948,371,176,73,176,73,0,19,0,19,0,19,207,131,207,131,0,19,0,19,0,19,90,62,90,62,0,19,0,19,0,19,29,51,29,51,0,19,0,19,0,19,12061,312,9556,492,718,216,476,153,175,93,67,62,0,19,994,289,627,190,193,125,141,108,33,53,620,189,378,143,232,148,10,14,0,19,173,166,173,166,0,19,0,19,0,19,3002,271,2534,261,86,103,47,49,0,19,34,56,5,12,280,115,163,105,76,43,41,32,0,19,66,53,36,20,16,28,14,25,0,19,36,64,36,64,0,19,0,19,0,19
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",136384,689,24416,898,13509,838,8425,698,7167,615,687,191,400,141,171,119,1993,386,1637,346,295,152,44,58,17,26,161,107,152,104,9,16,0,29,0,29,328,195,325,196,3,7,0,29,0,29,95442,1141,45912,1599,33801,1590,16005,1068,6947,605,6868,741,3981,580,11097,1190,5944,855,2599,429,2020,432,534,238,2070,517,961,343,680,315,361,170,68,40,2562,513,1822,431,614,186,66,53,60,94,16526,775,10399,701,4004,435,1001,229,637,176,1218,234,1148,260,1628,295,637,174,261,130,440,177,290,131,184,101,32,36,0,29,118,59,34,48,311,145,204,132,13,21,72,80,22,37
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",16232,185,3158,291,2795,297,134,110,134,110,0,19,0,19,0,19,129,81,108,77,9,13,12,20,0,19,100,69,38,45,20,31,42,44,0,19,0,19,0,19,0,19,0,19,0,19,9804,336,8440,455,353,180,209,107,93,89,51,68,0,19,634,186,479,156,155,97,0,19,0,19,315,161,130,99,169,123,16,26,0,19,62,53,50,44,12,19,0,19,0,19,3270,302,2704,279,85,64,41,46,6,11,38,52,0,19,428,187,310,162,91,143,18,30,9,19,42,37,11,16,20,23,0,19,11,18,11,19,0,19,11,19,0,19,0,19
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",79312,625,11710,705,5816,626,4447,454,3593,414,633,212,191,112,30,48,1242,313,982,267,138,98,122,100,0,29,187,128,187,128,0,29,0,29,0,29,18,24,18,24,0,29,0,29,0,29,56042,821,30152,1233,15241,1113,5900,647,4575,664,3457,716,1309,571,8158,924,4037,577,2164,356,1441,328,516,297,1881,389,1112,268,526,160,212,106,31,47,610,341,527,336,56,61,24,38,3,7,11560,573,8700,539,761,236,165,108,118,77,235,126,243,144,1560,371,570,145,475,171,458,288,57,77,422,116,321,114,54,28,35,29,12,21,117,94,96,89,14,22,7,14,0,29
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",20313,225,5910,285,5260,334,198,100,171,92,16,22,11,17,0,23,318,141,304,143,14,22,0,23,0,23,116,50,89,51,27,31,0,23,0,23,18,28,18,28,0,23,0,23,0,23,11818,232,9964,345,474,202,400,196,64,44,10,16,0,23,995,247,928,237,57,53,10,18,0,23,343,91,224,86,53,44,66,60,0,23,42,40,33,32,9,14,0,23,0,23,2585,192,2174,192,63,62,45,55,18,21,0,23,0,23,306,100,155,68,101,80,26,27,24,26,42,35,6,9,0,23,7,10,29,32,0,23,0,23,0,23,0,23,0,23
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",7292,101,1376,185,1311,188,24,22,24,22,0,17,0,17,0,17,27,31,27,31,0,17,0,17,0,17,14,23,14,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,4378,169,3917,184,93,55,79,50,0,17,0,17,14,23,307,104,252,86,38,33,17,23,0,17,46,41,8,12,38,36,0,17,0,17,15,17,6,9,9,14,0,17,0,17,1538,194,1419,197,14,22,14,22,0,17,0,17,0,17,96,62,64,46,24,28,8,14,0,17,0,17,0,17,0,17,0,17,0,17,9,14,0,17,9,14,0,17,0,17
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",58522,333,11033,439,9320,446,453,144,436,141,6,8,11,12,0,29,964,228,814,205,111,65,32,31,7,12,77,63,54,46,23,23,0,29,0,29,219,126,219,126,0,29,0,29,0,29,37612,508,30746,653,1969,372,1397,271,365,125,139,85,68,54,3349,496,2472,350,561,158,284,129,32,31,845,227,509,146,159,75,141,71,36,31,703,274,485,218,159,83,42,38,17,27,9877,341,8579,335,344,112,187,77,106,58,17,18,34,39,776,194,435,119,246,139,72,84,23,27,50,34,0,29,16,20,23,25,11,17,128,73,48,39,42,51,38,36,0,29
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",59096,374,12537,470,8955,397,1937,342,1775,336,127,111,35,41,0,29,992,248,954,242,30,26,8,12,0,29,621,154,461,130,116,63,9,13,35,44,32,36,32,36,0,29,0,29,0,29,35583,611,25068,800,4844,559,2905,428,1048,236,707,270,184,119,3556,482,2815,380,562,216,149,98,30,46,1982,305,1259,235,486,153,226,113,11,16,133,87,74,56,59,44,0,29,0,29,10976,446,8473,379,536,131,312,101,114,75,50,35,60,50,1335,269,957,247,184,78,194,95,0,29,571,162,231,106,170,83,64,74,106,108,61,41,53,39,8,12,0,29,0,29
