GEO.id,GEO.id2,GEO.display-label,B16004_001E,B16004_001M,B16004_002E,B16004_002M,B16004_003E,B16004_003M,B16004_004E,B16004_004M,B16004_005E,B16004_005M,B16004_006E,B16004_006M,B16004_007E,B16004_007M,B16004_008E,B16004_008M,B16004_009E,B16004_009M,B16004_010E,B16004_010M,B16004_011E,B16004_011M,B16004_012E,B16004_012M,B16004_013E,B16004_013M,B16004_014E,B16004_014M,B16004_015E,B16004_015M,B16004_016E,B16004_016M,B16004_017E,B16004_017M,B16004_018E,B16004_018M,B16004_019E,B16004_019M,B16004_020E,B16004_020M,B16004_021E,B16004_021M,B16004_022E,B16004_022M,B16004_023E,B16004_023M,B16004_024E,B16004_024M,B16004_025E,B16004_025M,B16004_026E,B16004_026M,B16004_027E,B16004_027M,B16004_028E,B16004_028M,B16004_029E,B16004_029M,B16004_030E,B16004_030M,B16004_031E,B16004_031M,B16004_032E,B16004_032M,B16004_033E,B16004_033M,B16004_034E,B16004_034M,B16004_035E,B16004_035M,B16004_036E,B16004_036M,B16004_037E,B16004_037M,B16004_038E,B16004_038M,B16004_039E,B16004_039M,B16004_040E,B16004_040M,B16004_041E,B16004_041M,B16004_042E,B16004_042M,B16004_043E,B16004_043M,B16004_044E,B16004_044M,B16004_045E,B16004_045M,B16004_046E,B16004_046M,B16004_047E,B16004_047M,B16004_048E,B16004_048M,B16004_049E,B16004_049M,B16004_050E,B16004_050M,B16004_051E,B16004_051M,B16004_052E,B16004_052M,B16004_053E,B16004_053M,B16004_054E,B16004_054M,B16004_055E,B16004_055M,B16004_056E,B16004_056M,B16004_057E,B16004_057M,B16004_058E,B16004_058M,B16004_059E,B16004_059M,B16004_060E,B16004_060M,B16004_061E,B16004_061M,B16004_062E,B16004_062M,B16004_063E,B16004_063M,B16004_064E,B16004_064M,B16004_065E,B16004_065M,B16004_066E,B16004_066M,B16004_067E,B16004_067M
0600000US0901115910,901115910,"Colchester town, New London County, Connecticut",14634,421,2490,361,2371,364,97,94,42,63,55,74,0,20,0,20,0,20,0,20,0,20,0,20,0,20,22,33,22,33,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,9668,362,8673,442,284,176,253,170,31,34,0,20,0,20,510,293,371,206,98,89,41,60,0,20,190,141,190,141,0,20,0,20,0,20,11,17,11,17,0,20,0,20,0,20,2476,363,2356,360,32,48,32,48,0,20,0,20,0,20,80,75,70,71,9,14,1,2,0,20,0,20,0,20,0,20,0,20,0,20,8,13,8,13,0,20,0,20,0,20
0600000US0901123400,901123400,"East Lyme town, New London County, Connecticut",18088,132,2894,353,2589,347,27,25,14,15,13,18,0,20,0,20,96,60,96,60,0,20,0,20,0,20,172,115,120,106,29,31,23,30,0,20,10,16,10,16,0,20,0,20,0,20,10848,330,9212,405,417,107,356,105,54,38,7,15,0,20,728,239,562,191,65,52,101,67,0,20,460,173,294,158,114,56,52,42,0,20,31,50,21,34,0,20,0,20,10,16,4346,414,3938,416,72,50,33,27,34,27,5,8,0,20,187,93,120,76,30,24,32,34,5,11,121,88,9,14,112,91,0,20,0,20,28,37,28,37,0,20,0,20,0,20
0600000US0901129910,901129910,"Franklin town, New London County, Connecticut",1670,202,263,75,256,75,0,13,0,13,0,13,0,13,0,13,3,4,3,4,0,13,0,13,0,13,4,7,4,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1089,149,988,132,83,60,36,23,47,41,0,13,0,13,12,9,5,5,7,7,0,13,0,13,6,7,6,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,318,51,307,50,8,9,5,8,0,13,3,5,0,13,3,4,3,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0901133900,901133900,"Griswold town, New London County, Connecticut",11025,228,1738,251,1738,251,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,7022,567,6812,600,58,80,58,80,0,20,0,20,0,20,132,118,83,69,9,22,40,63,0,20,20,22,20,22,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,2265,599,2152,603,14,23,14,23,0,20,0,20,0,20,35,32,21,25,0,20,14,21,0,20,64,94,0,20,64,94,0,20,0,20,0,20,0,20,0,20,0,20,0,20
0600000US0901134250,901134250,"Groton town, New London County, Connecticut",36212,334,4975,431,4271,403,445,196,387,187,15,25,43,45,0,27,134,104,124,100,0,27,10,15,0,27,101,81,89,80,12,18,0,27,0,27,24,36,24,36,0,27,0,27,0,27,24873,720,21171,832,1781,386,1362,285,94,59,298,167,27,32,781,317,464,219,279,151,38,42,0,27,1030,272,674,215,275,130,81,106,0,27,110,70,110,70,0,27,0,27,0,27,6364,641,5773,652,124,63,43,39,12,18,28,30,41,51,142,67,66,35,53,51,23,22,0,27,319,92,94,73,143,90,66,107,16,24,6,13,6,13,0,27,0,27,0,27
0600000US0901142390,901142390,"Lebanon town, New London County, Connecticut",7008,100,1093,198,973,202,46,74,46,74,0,18,0,18,0,18,37,48,37,48,0,18,0,18,0,18,37,56,37,56,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,4514,376,4184,373,216,197,212,196,0,18,4,10,0,18,85,71,47,42,38,43,0,18,0,18,29,44,0,18,15,23,14,22,0,18,0,18,0,18,0,18,0,18,0,18,1401,360,1336,359,0,18,0,18,0,18,0,18,0,18,65,53,18,29,47,43,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0600000US0901142600,901142600,"Ledyard town, New London County, Connecticut",13623,206,2587,402,2554,393,1,2,1,2,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,32,54,32,54,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,8856,423,8304,463,223,150,102,107,121,127,0,20,0,20,137,114,73,63,64,98,0,20,0,20,189,131,48,49,106,87,35,40,0,20,3,6,3,6,0,20,0,20,0,20,2180,348,2080,362,0,20,0,20,0,20,0,20,0,20,24,29,24,29,0,20,0,20,0,20,76,72,63,67,13,23,0,20,0,20,0,20,0,20,0,20,0,20,0,20
0600000US0901143230,901143230,"Lisbon town, New London County, Connecticut",4098,101,819,153,798,143,21,32,21,32,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2562,207,2498,205,55,48,44,44,11,19,0,13,0,13,9,14,9,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,717,170,679,175,0,13,0,13,0,13,0,13,0,13,38,27,31,25,7,12,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0901144210,901144210,"Lyme town, New London County, Connecticut",2347,262,263,74,261,75,2,4,0,13,0,13,2,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1411,235,1384,239,6,8,6,8,0,13,0,13,0,13,13,15,13,15,0,13,0,13,0,13,8,12,8,12,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,673,109,629,103,4,6,4,6,0,13,0,13,0,13,40,27,40,27,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0901148900,901148900,"Montville town, New London County, Connecticut",18158,192,2766,451,2378,498,130,97,96,84,34,53,0,20,0,20,111,112,55,58,56,61,0,20,0,20,100,75,37,42,15,19,28,33,20,37,47,60,47,60,0,20,0,20,0,20,12458,471,10783,532,859,223,534,167,224,119,62,56,39,44,280,201,138,82,142,125,0,20,0,20,436,182,114,74,130,80,129,69,63,80,100,90,67,57,33,37,0,20,0,20,2934,357,2689,355,111,89,61,59,50,47,0,20,0,20,86,53,57,45,29,31,0,20,0,20,47,47,19,31,0,20,1,2,27,31,1,4,1,4,0,20,0,20,0,20
