"FIPS","Year","Age","Pop","MOE"
"0900108070",2010,"Total:Native",72135,1779.53364677378
"0900108070",2010,"Total:Not Well",10780,955.483123869804
"0900108070",2010,"Total:Not at All",4557,615.193465504958
"0900108070",2010,"Total:Very Well",31037,1492.7682338528
"0900108070",2010,"Total:Well",14112,1019.9200949094
"0900108980",2010,"18 to 64 years:Not Well",49,217.538502339241
"0900108980",2010,"18 to 64 years:Not at All",12,213.978970929388
"0900108980",2010,"18 to 64 years:Very Well",1022,265.531542382445
"0900108980",2010,"18 to 64 years:Well",199,157.689568456509
"0900108980",2010,"5 to 17 years:Not Well",10,213.569660766692
"0900108980",2010,"5 to 17 years:Not at All",0,246
"0900108980",2010,"5 to 17 years:Very Well",241,169.301506195308
"0900108980",2010,"5 to 17 years:Well",12,213.801309631162
"0900108980",2010,"65 years and over:Not Well",17,215.006976630992
"0900108980",2010,"65 years and over:Not at All",14,214.280190404993
"0900108980",2010,"65 years and over:Very Well",70,180.941979650937
"0900108980",2010,"65 years and over:Well",48,129.591666398731
"0900108980",2010,"Total 18 to 64 years Native",8687,369
"0900108980",2010,"Total 5 to 17 years Native",2875,251
"0900108980",2010,"Total 65 years and over Native",2069,240
"0900108980",2010,"Total:Native",13631,506.716883476365
"0900108980",2010,"Total:Not Well",76,373.045573623385
"0900108980",2010,"Total:Not at All",26,390.152534273456
"0900108980",2010,"Total:Very Well",1333,363.194162948691
"0900108980",2010,"Total:Well",259,295.585858931039
"0900118500",2010,"18 to 64 years:Not Well",4250,629.521246662891
"0900118500",2010,"18 to 64 years:Not at All",1772,586.313056310364
"0900118500",2010,"18 to 64 years:Very Well",9757,864.783788007153
"0900118500",2010,"18 to 64 years:Well",6014,818.60979715613
"0900118500",2010,"5 to 17 years:Not Well",273,206.286208942818
"0900118500",2010,"5 to 17 years:Not at All",27,215.28585647924
"0900118500",2010,"5 to 17 years:Very Well",3369,550.270842403993
"0900118500",2010,"5 to 17 years:Well",878,271.805077215272
"0900118500",2010,"65 years and over:Not Well",523,190.496719131853
"0900118500",2010,"65 years and over:Not at All",391,203.632021057593
"0900118500",2010,"65 years and over:Very Well",857,186.013440374614
"0900118500",2010,"65 years and over:Well",378,135.521216051215
"0900118500",2010,"Total 18 to 64 years Native",31301,1113
"0900118500",2010,"Total 5 to 17 years Native",7186,560
"0900118500",2010,"Total 65 years and over Native",6677,401
"0900118500",2010,"Total:Native",45164,1308.88120163749
"0900118500",2010,"Total:Not Well",5046,689.303996796769
"0900118500",2010,"Total:Not at All",2190,656.9452031943
"0900118500",2010,"Total:Very Well",13983,1041.7533297283
"0900118500",2010,"Total:Well",7270,873.135728280546
"0900118850",2010,"18 to 64 years:Not Well",42,127.133787798523
"0900118850",2010,"18 to 64 years:Not at All",0,246
"0900118850",2010,"18 to 64 years:Very Well",963,200.666389811548
"0900118850",2010,"18 to 64 years:Well",187,97.6012295004525
"0900118850",2010,"5 to 17 years:Not Well",50,131.388736199113
"0900118850",2010,"5 to 17 years:Not at All",0,246
"0900118850",2010,"5 to 17 years:Very Well",498,226.072997060684
"0900118850",2010,"5 to 17 years:Well",13,214.074753298935
"0900118850",2010,"65 years and over:Not Well",25,215.898124123393
"0900118850",2010,"65 years and over:Not at All",12,213.719442260174
"0900118850",2010,"65 years and over:Very Well",223,156.252999971201
"0900118850",2010,"65 years and over:Well",19,175.236982398123
"0900118850",2010,"Total 18 to 64 years Native",9482,315
"0900118850",2010,"Total 5 to 17 years Native",5363,283
"0900118850",2010,"Total 65 years and over Native",2013,161
"0900118850",2010,"Total:Native",16858,453.028696662805
"0900118850",2010,"Total:Not Well",117,282.909879643677
"0900118850",2010,"Total:Not at All",12,408.298910113657
"0900118850",2010,"Total:Very Well",1684,340.280766426785
"0900118850",2010,"Total:Well",219,293.363256049561
"0900123890",2010,"18 to 64 years:Not Well",51,182.502054782953
"0900123890",2010,"18 to 64 years:Not at All",0,246
"0900123890",2010,"18 to 64 years:Very Well",308,157.575378787424
"0900123890",2010,"18 to 64 years:Well",63,134.499070628759
"0900123890",2010,"5 to 17 years:Not Well",8,213.501756433056
"0900123890",2010,"5 to 17 years:Not at All",0,246
"0900123890",2010,"5 to 17 years:Very Well",129,151.809090636892
"0900123890",2010,"5 to 17 years:Well",0,246
"0900123890",2010,"65 years and over:Not Well",0,246
"0900123890",2010,"65 years and over:Not at All",17,214.504079215291
"0900123890",2010,"65 years and over:Very Well",97,188.050525125563
"0900123890",2010,"65 years and over:Well",9,213.501756433056
"0900123890",2010,"Total 18 to 64 years Native",3792,161
"0900123890",2010,"Total 5 to 17 years Native",1774,150
"0900123890",2010,"Total 65 years and over Native",839,107
"0900123890",2010,"Total:Native",6405,244.683468996171
"0900123890",2010,"Total:Not Well",59,373.371129039191
"0900123890",2010,"Total:Not at All",17,408.710166254768
"0900123890",2010,"Total:Very Well",534,288.511698203036
"0900123890",2010,"Total:Well",72,352.404597018824
"0900126620",2010,"18 to 64 years:Not Well",335,187.176387399693
"0900126620",2010,"18 to 64 years:Not at All",47,182.348567309974
"0900126620",2010,"18 to 64 years:Very Well",3631,465.534101865803
"0900126620",2010,"18 to 64 years:Well",634,165.692486250886
"0900126620",2010,"5 to 17 years:Not Well",120,139.556440195356
"0900126620",2010,"5 to 17 years:Not at All",0,246
"0900126620",2010,"5 to 17 years:Very Well",659,183.888553205467
"0900126620",2010,"5 to 17 years:Well",150,72.6291952316697
"0900126620",2010,"65 years and over:Not Well",119,140.242646866066
"0900126620",2010,"65 years and over:Not at All",49,177.994381933813
"0900126620",2010,"65 years and over:Very Well",688,145.814951222431
"0900126620",2010,"65 years and over:Well",251,148.761554173113
"0900126620",2010,"Total 18 to 64 years Native",30998,658
"0900126620",2010,"Total 5 to 17 years Native",10024,514
"0900126620",2010,"Total 65 years and over Native",7312,395
"0900126620",2010,"Total:Native",48334,923.68013944222
"0900126620",2010,"Total:Not Well",574,272.358219997121
"0900126620",2010,"Total:Not at All",96,354.187803290853
"0900126620",2010,"Total:Very Well",4978,521.343456849705
"0900126620",2010,"Total:Well",1035,234.21998206814
"0900133620",2010,"18 to 64 years:Not Well",918,277.27783899908
"0900133620",2010,"18 to 64 years:Not at All",106,190.270859566041
"0900133620",2010,"18 to 64 years:Very Well",6231,648.321679415396
"0900133620",2010,"18 to 64 years:Well",2005,356.040728007345
"0900133620",2010,"5 to 17 years:Not Well",180,172.191753577226
"0900133620",2010,"5 to 17 years:Not at All",12,213.887821065156
"0900133620",2010,"5 to 17 years:Very Well",3153,514.803846139479
"0900133620",2010,"5 to 17 years:Well",350,158.625344759279
"0900133620",2010,"65 years and over:Not Well",190,160.993788700061
"0900133620",2010,"65 years and over:Not at All",126,150.026664296718
"0900133620",2010,"65 years and over:Very Well",1041,253.286399161108
"0900133620",2010,"65 years and over:Well",267,164.201096220458
"0900133620",2010,"Total 18 to 64 years Native",24987,801
"0900133620",2010,"Total 5 to 17 years Native",9009,478
"0900133620",2010,"Total 65 years and over Native",8268,496
"0900133620",2010,"Total:Native",42264,1056.4568140724
"0900133620",2010,"Total:Not Well",1288,363.939555420952
"0900133620",2010,"Total:Not at All",244,323.201175740436
"0900133620",2010,"Total:Very Well",10425,865.735525434876
"0900133620",2010,"Total:Well",2622,422.952716033365
"0900148620",2010,"18 to 64 years:Not Well",198,161.663230204026
"0900148620",2010,"18 to 64 years:Not at All",15,214.175161958617
"0900148620",2010,"18 to 64 years:Very Well",805,217.726893148274
"0900148620",2010,"18 to 64 years:Well",295,176.595583183725
"0900148620",2010,"5 to 17 years:Not Well",14,214.280190404993
"0900148620",2010,"5 to 17 years:Not at All",0,246
"0900148620",2010,"5 to 17 years:Very Well",193,162.440758432113
"0900148620",2010,"5 to 17 years:Well",21,215.7382673519
"0900148620",2010,"65 years and over:Not Well",55,216.582547773361
"0900148620",2010,"65 years and over:Not at All",0,246
"0900148620",2010,"65 years and over:Very Well",279,183.371208208922
"0900148620",2010,"65 years and over:Well",87,185.027025053099
"0900148620",2010,"Total 18 to 64 years Native",10320,344
"0900148620",2010,"Total 5 to 17 years Native",3974,247
"0900148620",2010,"Total 65 years and over Native",2072,155
"0900148620",2010,"Total:Native",16366,450.965630619452
"0900148620",2010,"Total:Not Well",267,344.904334562499
"0900148620",2010,"Total:Not at All",15,408.537635965158
"0900148620",2010,"Total:Very Well",1277,327.745327960598
"0900148620",2010,"Total:Well",403,334.610221003483
"0900150580",2010,"18 to 64 years:Not Well",31,176.555940143627
"0900150580",2010,"18 to 64 years:Not at All",0,246
"0900150580",2010,"18 to 64 years:Very Well",1002,239.553751796961
"0900150580",2010,"18 to 64 years:Well",352,230.776948588892
"0900150580",2010,"5 to 17 years:Not Well",0,246
"0900150580",2010,"5 to 17 years:Not at All",0,246
"0900150580",2010,"5 to 17 years:Very Well",335,146.788964162842
"0900150580",2010,"5 to 17 years:Well",0,246
"0900150580",2010,"65 years and over:Not Well",64,184.878338374186
"0900150580",2010,"65 years and over:Not at All",0,246
"0900150580",2010,"65 years and over:Very Well",154,80.0562302385017
"0900150580",2010,"65 years and over:Well",24,214.504079215291
"0900150580",2010,"Total 18 to 64 years Native",9129,360
"0900150580",2010,"Total 5 to 17 years Native",4904,333
"0900150580",2010,"Total 65 years and over Native",2380,228
"0900150580",2010,"Total:Native",16413,540.807729234707
"0900150580",2010,"Total:Not Well",95,354.778804327429
"0900150580",2010,"Total:Not at All",0,426.084498661944
"0900150580",2010,"Total:Very Well",1491,292.133531112058
"0900150580",2010,"Total:Well",376,399.732410494821
"0900150860",2010,"18 to 64 years:Not Well",45,179.752607769679
"0900150860",2010,"18 to 64 years:Not at All",0,246
"0900150860",2010,"18 to 64 years:Very Well",647,180.352432753207
"0900150860",2010,"18 to 64 years:Well",179,105.441927144756
"0900150860",2010,"5 to 17 years:Not Well",19,175.359630474063
"0900150860",2010,"5 to 17 years:Not at All",0,246
"0900150860",2010,"5 to 17 years:Very Well",217,191.755052084684
"0900150860",2010,"5 to 17 years:Well",29,217.142810150371
"0900150860",2010,"65 years and over:Not Well",12,213.887821065156
"0900150860",2010,"65 years and over:Not at All",6,213.326041542049
"0900150860",2010,"65 years and over:Very Well",91,187.584647559442
"0900150860",2010,"65 years and over:Well",44,219.535874061621
"0900150860",2010,"Total 18 to 64 years Native",7425,317
"0900150860",2010,"Total 5 to 17 years Native",2967,262
"0900150860",2010,"Total 65 years and over Native",1506,176
"0900150860",2010,"Total:Native",11898,447.335444605053
"0900150860",2010,"Total:Not Well",76,329.863608177683
"0900150860",2010,"Total:Not at All",6,408.093126626754
"0900150860",2010,"Total:Very Well",955,323.241395863834
"0900150860",2010,"Total:Well",252,326.289748536481
"0900152980",2010,"18 to 64 years:Not Well",102,134.320512208672
"0900152980",2010,"18 to 64 years:Not at All",9,213.232267727002
"0900152980",2010,"18 to 64 years:Very Well",1203,251.833278182213
"0900152980",2010,"18 to 64 years:Well",391,214.548362846236
"0900152980",2010,"5 to 17 years:Not Well",15,175.25695421295
"0900152980",2010,"5 to 17 years:Not at All",0,246
"0900152980",2010,"5 to 17 years:Very Well",437,241.754007205672
"0900152980",2010,"5 to 17 years:Well",41,127.381317311449
"0900152980",2010,"65 years and over:Not Well",95,222.447746673236
"0900152980",2010,"65 years and over:Not at All",25,175.917594344625
"0900152980",2010,"65 years and over:Very Well",222,163.98475538903
"0900152980",2010,"65 years and over:Well",48,177.780763863811
"0900152980",2010,"Total 18 to 64 years Native",14620,432
"0900152980",2010,"Total 5 to 17 years Native",5533,328
"0900152980",2010,"Total 65 years and over Native",2803,250
"0900152980",2010,"Total:Native",22956,597.250366261922
"0900152980",2010,"Total:Not Well",212,313.432608386556
"0900152980",2010,"Total:Not at All",34,370.041889520632
"0900152980",2010,"Total:Very Well",1862,385.688993879784
"0900152980",2010,"Total:Well",480,306.370690504167
"0900156060",2010,"18 to 64 years:Not Well",3284,575.660490219713
"0900156060",2010,"18 to 64 years:Not at All",818,318.2923184747
"0900156060",2010,"18 to 64 years:Very Well",9430,830.03734855728
"0900156060",2010,"18 to 64 years:Well",4789,623.622481955229
"0900156060",2010,"5 to 17 years:Not Well",185,237.955878263177
"0900156060",2010,"5 to 17 years:Not at All",0,246
"0900156060",2010,"5 to 17 years:Very Well",2976,520.150939631949
"0900156060",2010,"5 to 17 years:Well",376,206.155281280883
"0900156060",2010,"65 years and over:Not Well",628,248.038303493634
"0900156060",2010,"65 years and over:Not at All",218,155.35121499364
"0900156060",2010,"65 years and over:Very Well",905,200.481919384268
"0900156060",2010,"65 years and over:Well",540,144.100659262892
"0900156060",2010,"Total 18 to 64 years Native",37244,1440
"0900156060",2010,"Total 5 to 17 years Native",8730,678
"0900156060",2010,"Total 65 years and over Native",8813,482
"0900156060",2010,"Total:Native",54787,1663.01172575541
"0900156060",2010,"Total:Not Well",4097,670.470730159043
"0900156060",2010,"Total:Not at All",1036,431.230796673892
"0900156060",2010,"Total:Very Well",13311,999.855989630506
"0900156060",2010,"Total:Well",5705,672.435870548263
"0900163480",2010,"18 to 64 years:Not Well",37,177.333020049849
"0900163480",2010,"18 to 64 years:Not at All",0,246
"0900163480",2010,"18 to 64 years:Very Well",565,162.049375191637
"0900163480",2010,"18 to 64 years:Well",48,127.828009450198
"0900163480",2010,"5 to 17 years:Not Well",0,246
"0900163480",2010,"5 to 17 years:Not at All",0,246
"0900163480",2010,"5 to 17 years:Very Well",270,166.670333293001
"0900163480",2010,"5 to 17 years:Well",8,213.569660766692
"0900163480",2010,"65 years and over:Not Well",5,213.192401365527
"0900163480",2010,"65 years and over:Not at All",0,246
"0900163480",2010,"65 years and over:Very Well",50,218.830985008979
"0900163480",2010,"65 years and over:Well",11,213.719442260174
"0900163480",2010,"Total 18 to 64 years Native",4509,225
"0900163480",2010,"Total 5 to 17 years Native",1659,163
"0900163480",2010,"Total 65 years and over Native",1355,144
"0900163480",2010,"Total:Native",7523,312.937693479069
"0900163480",2010,"Total:Not Well",42,370.693943840468
"0900163480",2010,"Total:Not at All",0,426.084498661944
"0900163480",2010,"Total:Very Well",885,319.258515939669
"0900163480",2010,"Total:Well",67,328.067066314191
"0900163970",2010,"18 to 64 years:Not Well",30,176.10224302944
"0900163970",2010,"18 to 64 years:Not at All",12,213.887821065156
"0900163970",2010,"18 to 64 years:Very Well",1464,261.971372481804
"0900163970",2010,"18 to 64 years:Well",201,156.403324772845
"0900163970",2010,"5 to 17 years:Not Well",62,181.843339168637
"0900163970",2010,"5 to 17 years:Not at All",0,246
"0900163970",2010,"5 to 17 years:Very Well",463,178.877052748529
"0900163970",2010,"5 to 17 years:Well",25,176.29237079352
"0900163970",2010,"65 years and over:Not Well",7,213.379942824999
"0900163970",2010,"65 years and over:Not at All",0,246
"0900163970",2010,"65 years and over:Very Well",238,155.560277706103
"0900163970",2010,"65 years and over:Well",18,213.978970929388
"0900163970",2010,"Total 18 to 64 years Native",12221,443
"0900163970",2010,"Total 5 to 17 years Native",5449,296
"0900163970",2010,"Total 65 years and over Native",2709,264
"0900163970",2010,"Total:Native",20379,594.60995618977
"0900163970",2010,"Total:Not Well",99,331.074009852782
"0900163970",2010,"Total:Not at All",12,408.387071293889
"0900163970",2010,"Total:Very Well",2165,353.30581653859
"0900163970",2010,"Total:Well",244,318.320593113295
"0900168170",2010,"18 to 64 years:Not Well",326,160.953409407816
"0900168170",2010,"18 to 64 years:Not at All",68,184.450535374664
"0900168170",2010,"18 to 64 years:Very Well",3523,489
"0900168170",2010,"18 to 64 years:Well",854,231.549130855635
"0900168170",2010,"5 to 17 years:Not Well",70,184.320373263511
"0900168170",2010,"5 to 17 years:Not at All",40,219.061635162344
"0900168170",2010,"5 to 17 years:Very Well",462,190.142052161009
"0900168170",2010,"5 to 17 years:Well",37,127.663620503258
"0900168170",2010,"65 years and over:Not Well",158,190.428464258892
"0900168170",2010,"65 years and over:Not at All",74,220.535711393869
"0900168170",2010,"65 years and over:Very Well",578,143.342247784803
"0900168170",2010,"65 years and over:Well",304,212.518234511771
"0900168170",2010,"Total 18 to 64 years Native",19133,571
"0900168170",2010,"Total 5 to 17 years Native",5870,400
"0900168170",2010,"Total 65 years and over Native",5607,451
"0900168170",2010,"Total:Native",30610,830.326441828754
"0900168170",2010,"Total:Not Well",554,310.069347082229
"0900168170",2010,"Total:Not at All",182,361.44985820996
"0900168170",2010,"Total:Very Well",4563,543.895210495551
"0900168170",2010,"Total:Well",1195,339.230010464876
"0900168310",2010,"18 to 64 years:Not Well",10,213.642224290986
"0900168310",2010,"18 to 64 years:Not at All",0,246
"0900168310",2010,"18 to 64 years:Very Well",114,183.616448064981
"0900168310",2010,"18 to 64 years:Well",0,246
"0900168310",2010,"5 to 17 years:Not Well",0,246
"0900168310",2010,"5 to 17 years:Not at All",0,246
"0900168310",2010,"5 to 17 years:Very Well",29,215.28585647924
"0900168310",2010,"5 to 17 years:Well",0,246
"0900168310",2010,"65 years and over:Not Well",0,246
"0900168310",2010,"65 years and over:Not at All",0,246
"0900168310",2010,"65 years and over:Very Well",34,176.019885240276
"0900168310",2010,"65 years and over:Well",8,213.438515736968
"0900168310",2010,"Total 18 to 64 years Native",2011,119
"0900168310",2010,"Total 5 to 17 years Native",770,120
"0900168310",2010,"Total 65 years and over Native",487,104
"0900168310",2010,"Total:Native",3268,198.436387792159
"0900168310",2010,"Total:Not Well",10,408.25849654355
"0900168310",2010,"Total:Not at All",0,426.084498661944
"0900168310",2010,"Total:Very Well",177,333.235652354306
"0900168310",2010,"Total:Well",8,408.151932495731
"0900173070",2010,"18 to 64 years:Not Well",8561,1042.04510459001
"0900173070",2010,"18 to 64 years:Not at All",2220,471.288658891767
"0900173070",2010,"18 to 64 years:Very Well",16726,1169.34682622394
"0900173070",2010,"18 to 64 years:Well",10400,944.771930150341
"0900173070",2010,"5 to 17 years:Not Well",277,197.175049131476
"0900173070",2010,"5 to 17 years:Not at All",109,187.11226576577
"0900173070",2010,"5 to 17 years:Very Well",6808,745.982573523001
"0900173070",2010,"5 to 17 years:Well",789,269.174664483863
"0900173070",2010,"65 years and over:Not Well",1269,305.952610709567
"0900173070",2010,"65 years and over:Not at All",352,181.408379078807
"0900173070",2010,"65 years and over:Very Well",1438,261.361818175494
"0900173070",2010,"65 years and over:Well",1003,218.508581067197
"0900173070",2010,"Total 18 to 64 years Native",42207,1287
"0900173070",2010,"Total 5 to 17 years Native",9915,618
"0900173070",2010,"Total 65 years and over Native",10444,576
"0900173070",2010,"Total:Native",62566,1539.50284182914
"0900173070",2010,"Total:Not Well",10107,1103.78575819767
"0900173070",2010,"Total:Not at All",2681,538.547119572652
"0900173070",2010,"Total:Very Well",24972,1411.44323300656
"0900173070",2010,"Total:Well",12192,1006.37716587768
"0900174190",2010,"18 to 64 years:Not Well",1215,569.215249268675
"0900174190",2010,"18 to 64 years:Not at All",313,295.042369838639
"0900174190",2010,"18 to 64 years:Very Well",4683,652.054445579508
"0900174190",2010,"18 to 64 years:Well",1614,344.456092992997
"0900174190",2010,"5 to 17 years:Not Well",110,146.686741050444
"0900174190",2010,"5 to 17 years:Not at All",7,213.326041542049
"0900174190",2010,"5 to 17 years:Very Well",1619,341.405916761851
"0900174190",2010,"5 to 17 years:Well",135,190.648891945377
"0900174190",2010,"65 years and over:Not Well",247,211.298367244047
"0900174190",2010,"65 years and over:Not at All",128,156.057681643679
"0900174190",2010,"65 years and over:Very Well",382,167.541039748475
"0900174190",2010,"65 years and over:Well",190,194.028348444242
"0900174190",2010,"Total 18 to 64 years Native",22997,868
"0900174190",2010,"Total 5 to 17 years Native",6545,501
"0900174190",2010,"Total 65 years and over Native",7666,422
"0900174190",2010,"Total:Native",37208,1087.43229674311
"0900174190",2010,"Total:Not Well",1572,624.635893941422
"0900174190",2010,"Total:Not at All",448,396.121193575906
"0900174190",2010,"Total:Very Well",6684,754.852965815198
"0900174190",2010,"Total:Well",1939,438.912291921746
"0900177200",2010,"18 to 64 years:Not Well",221,95.168272023821
"0900177200",2010,"18 to 64 years:Not at All",5,213.192401365527
"0900177200",2010,"18 to 64 years:Very Well",2735,386.618675182666
"0900177200",2010,"18 to 64 years:Well",950,257.289719965645
"0900177200",2010,"5 to 17 years:Not Well",73,181.215341513902
"0900177200",2010,"5 to 17 years:Not at All",0,246
"0900177200",2010,"5 to 17 years:Very Well",865,230.926395199856
"0900177200",2010,"5 to 17 years:Well",136,108.249711316012
"0900177200",2010,"65 years and over:Not Well",237,128.639029847088
"0900177200",2010,"65 years and over:Not at All",48,179.393422398927
"0900177200",2010,"65 years and over:Very Well",629,225.43957061705
"0900177200",2010,"65 years and over:Well",339,223.955352693344
"0900177200",2010,"Total 18 to 64 years Native",15134,736
"0900177200",2010,"Total 5 to 17 years Native",5907,414
"0900177200",2010,"Total 65 years and over Native",6045,520
"0900177200",2010,"Total:Native",27086,991.711651640738
"0900177200",2010,"Total:Not Well",531,241.75193897878
"0900177200",2010,"Total:Not at All",53,371.684005574628
"0900177200",2010,"Total:Very Well",4229,503.610960960939
"0900177200",2010,"Total:Well",1425,357.871485312815
"0900183430",2010,"18 to 64 years:Not Well",0,246
"0900183430",2010,"18 to 64 years:Not at All",0,246
"0900183430",2010,"18 to 64 years:Very Well",396,124.201449266907
"0900183430",2010,"18 to 64 years:Well",92,134.773884710652
"0900183430",2010,"5 to 17 years:Not Well",10,213.569660766692
"0900183430",2010,"5 to 17 years:Not at All",0,246
"0900183430",2010,"5 to 17 years:Very Well",163,194.411933790084
"0900183430",2010,"5 to 17 years:Well",45,131.449610117337
"0900183430",2010,"65 years and over:Not Well",0,246
"0900183430",2010,"65 years and over:Not at All",0,246
"0900183430",2010,"65 years and over:Very Well",57,178.544112196398
"0900183430",2010,"65 years and over:Well",0,246
"0900183430",2010,"Total 18 to 64 years Native",5121,187
"0900183430",2010,"Total 5 to 17 years Native",2605,249
"0900183430",2010,"Total 65 years and over Native",1058,155
"0900183430",2010,"Total:Native",8784,347.843355549592
"0900183430",2010,"Total:Not Well",10,408.220528636177
"0900183430",2010,"Total:Not at All",0,426.084498661944
"0900183430",2010,"Total:Very Well",616,291.719042916296
"0900183430",2010,"Total:Well",137,309.772497165258
"0900183500",2010,"18 to 64 years:Not Well",116,151.27127949482
"0900183500",2010,"18 to 64 years:Not at All",8,213.438515736968
"0900183500",2010,"18 to 64 years:Very Well",1718,333.061555872184
"0900183500",2010,"18 to 64 years:Well",315,195.537720146267
"0900183500",2010,"5 to 17 years:Not Well",26,176.383105766964
"0900183500",2010,"5 to 17 years:Not at All",0,246
"0900183500",2010,"5 to 17 years:Very Well",729,249.939992798272
"0900183500",2010,"5 to 17 years:Well",103,195.179404651208
"0900183500",2010,"65 years and over:Not Well",8,213.569660766692
"0900183500",2010,"65 years and over:Not at All",0,246
"0900183500",2010,"65 years and over:Very Well",364,175.826619145111
"0900183500",2010,"65 years and over:Well",78,219.779434888708
"0900183500",2010,"Total 18 to 64 years Native",12106,481
"0900183500",2010,"Total 5 to 17 years Native",5477,327
"0900183500",2010,"Total 65 years and over Native",3481,250
"0900183500",2010,"Total:Native",21064,633.079773804218
"0900183500",2010,"Total:Not Well",150,315.604182481792
"0900183500",2010,"Total:Not at All",8,408.151932495731
"0900183500",2010,"Total:Very Well",2811,452.01216797781
"0900183500",2010,"Total:Well",496,353.033992697587
"0900186370",2010,"18 to 64 years:Not Well",78,132.97368160655
"0900186370",2010,"18 to 64 years:Not at All",0,246
"0900186370",2010,"18 to 64 years:Very Well",1143,271.151249305623
"0900186370",2010,"18 to 64 years:Well",195,194.617573718305
"0900186370",2010,"5 to 17 years:Not Well",39,179.38506069347
"0900186370",2010,"5 to 17 years:Not at All",0,246
"0900186370",2010,"5 to 17 years:Very Well",322,172.594901431068
"0900186370",2010,"5 to 17 years:Well",22,215.58293067866
"0900186370",2010,"65 years and over:Not Well",38,176.232800579234
"0900186370",2010,"65 years and over:Not at All",13,213.978970929388
"0900186370",2010,"65 years and over:Very Well",130,137.658998979362
"0900186370",2010,"65 years and over:Well",74,219.061635162344
"0900186370",2010,"Total 18 to 64 years Native",8405,318
"0900186370",2010,"Total 5 to 17 years Native",4241,280
"0900186370",2010,"Total 65 years and over Native",2000,226
"0900186370",2010,"Total:Native",14646,480.208288141719
"0900186370",2010,"Total:Not Well",155,284.462651327024
"0900186370",2010,"Total:Not at All",13,408.434817320953
"0900186370",2010,"Total:Very Well",1595,349.659834696523
"0900186370",2010,"Total:Well",291,363.785651173875
"0900302060",2010,"18 to 64 years:Not Well",114,139.222842953303
"0900302060",2010,"18 to 64 years:Not at All",0,246
"0900302060",2010,"18 to 64 years:Very Well",978,254.167267758852
