"FIPS","Year","Age","Pop","MOE"
"09",2010,"18 to 64 years:Not Well",72310,2498.33644651796
"09",2010,"18 to 64 years:Not at All",22977,1422.84433442313
"09",2010,"18 to 64 years:Very Well",283786,3947.26056905292
"09",2010,"18 to 64 years:Well",109671,2811.01938805125
"09",2010,"5 to 17 years:Not Well",6329,653.373553183782
"09",2010,"5 to 17 years:Not at All",1101,331.612725931922
"09",2010,"5 to 17 years:Very Well",97019,2450.83149155547
"09",2010,"5 to 17 years:Well",13457,917.004907293303
"09",2010,"65 years and over:Not Well",17088,934.373051837434
"09",2010,"65 years and over:Not at All",7820,558.161267018771
"09",2010,"65 years and over:Very Well",37979,1314.99277564555
"09",2010,"65 years and over:Well",18375,959.791644056146
"09",2010,"Total 18 to 64 years Native",1737867,3995
"09",2010,"Total 5 to 17 years Native",504138,2203
"09",2010,"Total 65 years and over Native",410441,1699
"09",2010,"Total:Native",2652446,4868.24763133512
"09",2010,"Total:Not Well",95727,2746.2037433519
"09",2010,"Total:Not at All",31898,1563.96835006339
"09",2010,"Total:Very Well",418784,4828.73140690182
"09",2010,"Total:Well",141503,3108.68589600172
"0900104720",2010,"18 to 64 years:Not Well",83,134.510222659841
"0900104720",2010,"18 to 64 years:Not at All",40,182.710152974595
"0900104720",2010,"18 to 64 years:Very Well",895,226.349287606566
"0900104720",2010,"18 to 64 years:Well",563,184.640190641149
"0900104720",2010,"5 to 17 years:Not Well",11,213.887821065156
"0900104720",2010,"5 to 17 years:Not at All",0,246
"0900104720",2010,"5 to 17 years:Very Well",319,153.254689977175
"0900104720",2010,"5 to 17 years:Well",79,204.702222752954
"0900104720",2010,"65 years and over:Not Well",98,101.153348931214
"0900104720",2010,"65 years and over:Not at All",21,126.1982567233
"0900104720",2010,"65 years and over:Very Well",133,141.968306322221
"0900104720",2010,"65 years and over:Well",34,177.411949992102
"0900104720",2010,"Total 18 to 64 years Native",9723,600
"0900104720",2010,"Total 5 to 17 years Native",2838,339
"0900104720",2010,"Total 65 years and over Native",2449,730
"0900104720",2010,"Total:Native",15010,1003.90288374922
"0900104720",2010,"Total:Not Well",192,272.163553768685
"0900104720",2010,"Total:Not at All",61,331.398551596111
"0900104720",2010,"Total:Very Well",1347,308.019479903463
"0900104720",2010,"Total:Well",676,327.826173451724
"0900108070",2010,"18 to 64 years:Not Well",8561,879.493035788232
"0900108070",2010,"18 to 64 years:Not at All",3240,533.054406228858
"0900108070",2010,"18 to 64 years:Very Well",20658,1168.31588194289
"0900108070",2010,"18 to 64 years:Well",11064,922.297674289597
"0900108070",2010,"5 to 17 years:Not Well",528,201.61845153656
"0900108070",2010,"5 to 17 years:Not at All",178,159.119451984979
"0900108070",2010,"5 to 17 years:Very Well",8624,861.550346758679
"0900108070",2010,"5 to 17 years:Well",1727,327.984755743312
"0900108070",2010,"65 years and over:Not Well",1691,314.308765388431
"0900108070",2010,"65 years and over:Not at All",1139,262.672800266796
"0900108070",2010,"65 years and over:Very Well",1755,348.031607759985
"0900108070",2010,"65 years and over:Well",1321,286.408798747524
"0900108070",2010,"Total 18 to 64 years Native",47170,1440
"0900108070",2010,"Total 5 to 17 years Native",16110,852
"0900108070",2010,"Total 65 years and over Native",8855,606
